win,lose,probability
Atlanta Hawks,Orlando Magic,0.683452424273
Miami Heat,Sacramento Kings,0.695191925784
Dallas Mavericks,Phoenix Suns,0.797538377926
San Antonio Spurs,Denver Nuggets,0.891680694748
Charlotte Hornets,Detroit Pistons,0.559004652019
Oklahoma City Thunder,Houston Rockets,0.727913218751
Indiana Pacers,Brooklyn Nets,0.852237390291
Atlanta Hawks,New Orleans Pelicans,0.761137026348
Portland Trail Blazers,Los Angeles Lakers,0.927890524304
Toronto Raptors,Utah Jazz,0.75398271727
Boston Celtics,Philadelphia 76ers,0.931707556376
Cleveland Cavaliers,Brooklyn Nets,0.932907237467
Golden State Warriors,Memphis Grizzlies,0.921318788689
Miami Heat,Los Angeles Lakers,0.860956633653
Milwaukee Bucks,New York Knicks,0.520652942471
Houston Rockets,Orlando Magic,0.588558136461
Los Angeles Clippers,Sacramento Kings,0.744510690301
Washington Wizards,Minnesota Timberwolves,0.651468263865
Boston Celtics,New Orleans Pelicans,0.80338041821
Toronto Raptors,Chicago Bulls,0.65588315237
Atlanta Hawks,Dallas Mavericks,0.569645211568
Indiana Pacers,New York Knicks,0.765107889476
Utah Jazz,Minnesota Timberwolves,0.655849577097
Oklahoma City Thunder,Denver Nuggets,0.866390541721
San Antonio Spurs,Charlotte Hornets,0.797504757413
Brooklyn Nets,Philadelphia 76ers,0.637459736593
Los Angeles Clippers,Miami Heat,0.623255083746
Orlando Magic,Los Angeles Lakers,0.733170230326
Utah Jazz,Memphis Grizzlies,0.558521775533
Washington Wizards,Milwaukee Bucks,0.665772847574
Cleveland Cavaliers,Phoenix Suns,0.910386990169
Portland Trail Blazers,Detroit Pistons,0.707727956335
Golden State Warriors,Sacramento Kings,0.902316197987
Toronto Raptors,Houston Rockets,0.735394434423
Oklahoma City Thunder,Chicago Bulls,0.733114386369
Dallas Mavericks,Minnesota Timberwolves,0.645453334871
New York Knicks,New Orleans Pelicans,0.567759706922
Atlanta Hawks,Brooklyn Nets,0.86776174581
Golden State Warriors,Miami Heat,0.847769094702
Charlotte Hornets,Houston Rockets,0.566719653187
Portland Trail Blazers,Los Angeles Lakers,0.83063015906
Detroit Pistons,Sacramento Kings,0.629474635958
San Antonio Spurs,Milwaukee Bucks,0.920706416848
Toronto Raptors,Boston Celtics,0.658638064045
Cleveland Cavaliers,Utah Jazz,0.722294546034
Washington Wizards,Chicago Bulls,0.582594388697
Boston Celtics,Washington Wizards,0.659517406151
Los Angeles Clippers,Orlando Magic,0.788495224778
Houston Rockets,Minnesota Timberwolves,0.677575844946
Oklahoma City Thunder,Memphis Grizzlies,0.848632156524
New York Knicks,Philadelphia 76ers,0.76964226556
Cleveland Cavaliers,Portland Trail Blazers,0.563430778775
New Orleans Pelicans,Brooklyn Nets,0.655048791015
Indiana Pacers,Denver Nuggets,0.706922921204
Golden State Warriors,Detroit Pistons,0.882025431535
Chicago Bulls,New York Knicks,0.566717256994
Dallas Mavericks,Phoenix Suns,0.733457405365
San Antonio Spurs,Los Angeles Lakers,0.967827663381
Atlanta Hawks,Boston Celtics,0.545179035279
Houston Rockets,Memphis Grizzlies,0.632508217247
Miami Heat,Milwaukee Bucks,0.748138172784
Oklahoma City Thunder,Minnesota Timberwolves,0.863442031778
Charlotte Hornets,Philadelphia 76ers,0.920263920879
Portland Trail Blazers,Orlando Magic,0.802552413948
Cleveland Cavaliers,Sacramento Kings,0.841500604247
Toronto Raptors,Brooklyn Nets,0.920359182308
Utah Jazz,Detroit Pistons,0.54577157358
Chicago Bulls,New Orleans Pelicans,0.714914147371
Los Angeles Clippers,Los Angeles Lakers,0.92188821743
San Antonio Spurs,Phoenix Suns,0.93154333228
Utah Jazz,Orlando Magic,0.668531240673
Washington Wizards,Philadelphia 76ers,0.888971841873
Atlanta Hawks,Milwaukee Bucks,0.775810368513
Houston Rockets,Brooklyn Nets,0.813002117132
Dallas Mavericks,Minnesota Timberwolves,0.670507527231
Detroit Pistons,Los Angeles Lakers,0.821818412449
Chicago Bulls,Memphis Grizzlies,0.511453695192
Oklahoma City Thunder,Sacramento Kings,0.833184510929
Toronto Raptors,New York Knicks,0.867135990562
Boston Celtics,Charlotte Hornets,0.548171339863
Orlando Magic,Denver Nuggets,0.539500186117
Golden State Warriors,Cleveland Cavaliers,0.705219796817
Indiana Pacers,New Orleans Pelicans,0.760517221696
Oklahoma City Thunder,Los Angeles Clippers,0.569662327539
Milwaukee Bucks,Philadelphia 76ers,0.779533140432
Atlanta Hawks,New York Knicks,0.724578726392
Utah Jazz,Phoenix Suns,0.742303402912
Portland Trail Blazers,Washington Wizards,0.509552536918
Toronto Raptors,Brooklyn Nets,0.90075843697
Chicago Bulls,Dallas Mavericks,0.558378294429
Denver Nuggets,Los Angeles Lakers,0.71800041386
Miami Heat,Houston Rockets,0.642309390908
San Antonio Spurs,Minnesota Timberwolves,0.91180887596
Boston Celtics,New York Knicks,0.807357564661
Charlotte Hornets,Portland Trail Blazers,0.612381797801
Atlanta Hawks,Detroit Pistons,0.565338227336
Golden State Warriors,Oklahoma City Thunder,0.717754169011
Houston Rockets,Milwaukee Bucks,0.692691548722
Orlando Magic,New Orleans Pelicans,0.562771922435
Toronto Raptors,Philadelphia 76ers,0.942461409908
Indiana Pacers,Sacramento Kings,0.675719622189
Washington Wizards,Memphis Grizzlies,0.615814138723
Cleveland Cavaliers,Phoenix Suns,0.938691751564
Los Angeles Clippers,Minnesota Timberwolves,0.802225156006
Miami Heat,Dallas Mavericks,0.674573132593
Washington Wizards,New York Knicks,0.616258311567
San Antonio Spurs,Denver Nuggets,0.91114896963
Atlanta Hawks,Chicago Bulls,0.697049986678
Toronto Raptors,Charlotte Hornets,0.548399023259
Dallas Mavericks,Utah Jazz,0.557019054004
Golden State Warriors,Houston Rockets,0.831867841629
Indiana Pacers,Los Angeles Lakers,0.849785838253
Memphis Grizzlies,Sacramento Kings,0.559709743779
New Orleans Pelicans,Brooklyn Nets,0.663252578198
Orlando Magic,Milwaukee Bucks,0.583525186691
Portland Trail Blazers,Philadelphia 76ers,0.895153688766
Atlanta Hawks,Philadelphia 76ers,0.929572320272
Boston Celtics,Portland Trail Blazers,0.621218499149
Chicago Bulls,Sacramento Kings,0.660156658015
Charlotte Hornets,Brooklyn Nets,0.877278847077
Cleveland Cavaliers,San Antonio Spurs,0.508498990402
Los Angeles Clippers,Denver Nuggets,0.771334679776
Detroit Pistons,Washington Wizards,0.557429441425
Houston Rockets,Memphis Grizzlies,0.582480838962
Miami Heat,Milwaukee Bucks,0.782564028148
New York Knicks,Phoenix Suns,0.664651998988
Indiana Pacers,Utah Jazz,0.505151256328
Dallas Mavericks,Los Angeles Lakers,0.855512092154
Denver Nuggets,Minnesota Timberwolves,0.542800674723
Golden State Warriors,Orlando Magic,0.888389432709
Toronto Raptors,Phoenix Suns,0.905669901567
Los Angeles Clippers,Atlanta Hawks,0.504139310019
San Antonio Spurs,Brooklyn Nets,0.949044456219
Charlotte Hornets,Washington Wizards,0.651072335242
Detroit Pistons,Sacramento Kings,0.672996561686
Indiana Pacers,New York Knicks,0.765107889476
Golden State Warriors,Miami Heat,0.756020589414
Houston Rockets,Milwaukee Bucks,0.683746727507
Cleveland Cavaliers,New Orleans Pelicans,0.871001284289
Oklahoma City Thunder,Utah Jazz,0.709880307293
Utah Jazz,Denver Nuggets,0.635377816021
Chicago Bulls,Orlando Magic,0.517708820507
Los Angeles Clippers,Philadelphia 76ers,0.932308250625
Minnesota Timberwolves,Phoenix Suns,0.64027695658
San Antonio Spurs,Toronto Raptors,0.60651796757
Boston Celtics,Washington Wizards,0.578994271269
Boston Celtics,Houston Rockets,0.640889718456
Miami Heat,Brooklyn Nets,0.856595842306
Atlanta Hawks,Chicago Bulls,0.579478538191
Golden State Warriors,Charlotte Hornets,0.763965899646
Cleveland Cavaliers,Sacramento Kings,0.887136016114
Dallas Mavericks,New York Knicks,0.728094195228
Toronto Raptors,Memphis Grizzlies,0.744408531416
Milwaukee Bucks,Philadelphia 76ers,0.779533140432
Oklahoma City Thunder,New Orleans Pelicans,0.863982836764
Portland Trail Blazers,Los Angeles Lakers,0.927890524304
Denver Nuggets,Phoenix Suns,0.642572892585
Indiana Pacers,Minnesota Timberwolves,0.725115613934
Oklahoma City Thunder,Dallas Mavericks,0.808752494192
Utah Jazz,Los Angeles Lakers,0.864590662887
Atlanta Hawks,Washington Wizards,0.652050066149
Boston Celtics,Orlando Magic,0.745367533164
Miami Heat,Chicago Bulls,0.55641388516
Cleveland Cavaliers,Brooklyn Nets,0.948531032171
Indiana Pacers,Sacramento Kings,0.710977773411
San Antonio Spurs,New Orleans Pelicans,0.900439142393
Charlotte Hornets,New York Knicks,0.719413868715
Houston Rockets,Philadelphia 76ers,0.88695370171
Portland Trail Blazers,Memphis Grizzlies,0.791340509466
Toronto Raptors,Milwaukee Bucks,0.847798323641
Charlotte Hornets,Sacramento Kings,0.753020966336
Golden State Warriors,Los Angeles Clippers,0.813386813061
Miami Heat,Detroit Pistons,0.63698011544
Boston Celtics,Milwaukee Bucks,0.756940805486
Minnesota Timberwolves,Brooklyn Nets,0.664277929359
Denver Nuggets,Phoenix Suns,0.642158553272
Utah Jazz,Memphis Grizzlies,0.652999518052
Atlanta Hawks,New York Knicks,0.802159962796
Chicago Bulls,Philadelphia 76ers,0.893312685167
Cleveland Cavaliers,Oklahoma City Thunder,0.595642411438
Indiana Pacers,Houston Rockets,0.581074912369
Washington Wizards,New Orleans Pelicans,0.660456979047
Golden State Warriors,Portland Trail Blazers,0.691873100196
San Antonio Spurs,Dallas Mavericks,0.86992038725
Toronto Raptors,Orlando Magic,0.820095564933
Boston Celtics,Detroit Pistons,0.635551292767
Cleveland Cavaliers,Dallas Mavericks,0.737172002201
Miami Heat,Brooklyn Nets,0.88189222089
Orlando Magic,Minnesota Timberwolves,0.56164113561
Sacramento Kings,Philadelphia 76ers,0.815634377921
Memphis Grizzlies,Phoenix Suns,0.674859486277
Houston Rockets,Sacramento Kings,0.666058845914
Denver Nuggets,Los Angeles Lakers,0.71800041386
Portland Trail Blazers,Charlotte Hornets,0.627510753243
San Antonio Spurs,Oklahoma City Thunder,0.658179154012
Toronto Raptors,New Orleans Pelicans,0.86418537487
Washington Wizards,New York Knicks,0.710948002641
Toronto Raptors,Boston Celtics,0.539123838873
New York Knicks,Brooklyn Nets,0.649293108286
Cleveland Cavaliers,Minnesota Timberwolves,0.887761252574
Dallas Mavericks,Philadelphia 76ers,0.897086526075
Memphis Grizzlies,Denver Nuggets,0.556663047425
Detroit Pistons,New Orleans Pelicans,0.726542191187
Golden State Warriors,Charlotte Hornets,0.838746343197
Miami Heat,Atlanta Hawks,0.543322643467
Oklahoma City Thunder,Chicago Bulls,0.829985842548
Indiana Pacers,Orlando Magic,0.642294047358
Los Angeles Clippers,Phoenix Suns,0.847932941574
Utah Jazz,Milwaukee Bucks,0.71135844132
Atlanta Hawks,Houston Rockets,0.5730270579
Golden State Warriors,Los Angeles Clippers,0.709990122883
San Antonio Spurs,Philadelphia 76ers,0.977918936681
Washington Wizards,Los Angeles Lakers,0.844686825498
Boston Celtics,Los Angeles Lakers,0.902600637043
Indiana Pacers,Brooklyn Nets,0.845137717159
Denver Nuggets,Milwaukee Bucks,0.510526084918
Detroit Pistons,Minnesota Timberwolves,0.674372645856
Houston Rockets,Chicago Bulls,0.599793864215
Oklahoma City Thunder,Memphis Grizzlies,0.848632156524
Toronto Raptors,Orlando Magic,0.749143927761
Portland Trail Blazers,Dallas Mavericks,0.740973839978
Sacramento Kings,Phoenix Suns,0.675433680984
Atlanta Hawks,Orlando Magic,0.739038015386
Indiana Pacers,Detroit Pistons,0.575436349626
Miami Heat,Philadelphia 76ers,0.932099344168
Memphis Grizzlies,Minnesota Timberwolves,0.578623320609
Cleveland Cavaliers,New York Knicks,0.847897645083
Milwaukee Bucks,Phoenix Suns,0.613134320771
Golden State Warriors,Sacramento Kings,0.902316197987
San Antonio Spurs,Denver Nuggets,0.91114896963
Charlotte Hornets,Utah Jazz,0.54468590382
Washington Wizards,New Orleans Pelicans,0.705705988847
Boston Celtics,Los Angeles Clippers,0.504130904795
Toronto Raptors,Brooklyn Nets,0.90075843697
Oklahoma City Thunder,Portland Trail Blazers,0.77098463691
Atlanta Hawks,Utah Jazz,0.655645183077
Dallas Mavericks,Denver Nuggets,0.624717019384
Detroit Pistons,Philadelphia 76ers,0.898695326252
Oklahoma City Thunder,Indiana Pacers,0.684458203055
San Antonio Spurs,Memphis Grizzlies,0.856661208085
Miami Heat,Minnesota Timberwolves,0.742751011972
New Orleans Pelicans,Phoenix Suns,0.62068578216
New York Knicks,Los Angeles Lakers,0.748686578344
Chicago Bulls,Sacramento Kings,0.554705064693
Toronto Raptors,Los Angeles Clippers,0.612886740719
Cleveland Cavaliers,Washington Wizards,0.753302402048
Charlotte Hornets,Brooklyn Nets,0.877278847077
Dallas Mavericks,Portland Trail Blazers,0.511689676983
Houston Rockets,Orlando Magic,0.648463368351
Atlanta Hawks,Denver Nuggets,0.753464722087
Washington Wizards,Brooklyn Nets,0.80022799225
Detroit Pistons,Los Angeles Lakers,0.857667690971
Golden State Warriors,Chicago Bulls,0.910684034769
Cleveland Cavaliers,Indiana Pacers,0.697496702169
Memphis Grizzlies,Phoenix Suns,0.712333014562
Miami Heat,Milwaukee Bucks,0.748138172784
Toronto Raptors,Minnesota Timberwolves,0.814375742999
Utah Jazz,New Orleans Pelicans,0.65688580841
Los Angeles Clippers,New York Knicks,0.753676392189
San Antonio Spurs,Philadelphia 76ers,0.97110766458
Boston Celtics,Sacramento Kings,0.705115660372
Charlotte Hornets,Houston Rockets,0.632240255807
Dallas Mavericks,Utah Jazz,0.557019054004
Oklahoma City Thunder,Cleveland Cavaliers,0.533895607009
Orlando Magic,Philadelphia 76ers,0.84237201616
Portland Trail Blazers,Boston Celtics,0.632407685513
Miami Heat,Brooklyn Nets,0.856595842306
San Antonio Spurs,Detroit Pistons,0.786850778533
Golden State Warriors,Memphis Grizzlies,0.885882159582
Milwaukee Bucks,Los Angeles Lakers,0.706031758214
Minnesota Timberwolves,New Orleans Pelicans,0.521405936336
New York Knicks,Denver Nuggets,0.503854368805
Chicago Bulls,Phoenix Suns,0.704461180984
Atlanta Hawks,Sacramento Kings,0.71474010191
Indiana Pacers,Washington Wizards,0.545136098984
Los Angeles Clippers,Charlotte Hornets,0.505215873551
Cleveland Cavaliers,Denver Nuggets,0.886943716547
Dallas Mavericks,Orlando Magic,0.651604649895
Houston Rockets,Phoenix Suns,0.795299540757
Indiana Pacers,Milwaukee Bucks,0.735450951279
Golden State Warriors,Oklahoma City Thunder,0.60300519305
Miami Heat,Philadelphia 76ers,0.915107687018
Boston Celtics,Utah Jazz,0.539471363923
Chicago Bulls,Minnesota Timberwolves,0.611948605196
San Antonio Spurs,New York Knicks,0.881892894908
Sacramento Kings,New Orleans Pelicans,0.579686579463
Toronto Raptors,Detroit Pistons,0.730870936215
Memphis Grizzlies,Brooklyn Nets,0.739641752292
Charlotte Hornets,Philadelphia 76ers,0.929289853141
Boston Celtics,Dallas Mavericks,0.558151684184
Golden State Warriors,Denver Nuggets,0.914475323022
San Antonio Spurs,Indiana Pacers,0.755410144769
Miami Heat,Orlando Magic,0.746537521311
Detroit Pistons,Milwaukee Bucks,0.688724950287
New Orleans Pelicans,Phoenix Suns,0.581137919414
Portland Trail Blazers,Atlanta Hawks,0.621476541433
Los Angeles Clippers,Utah Jazz,0.58806760571
Oklahoma City Thunder,Washington Wizards,0.741778757118
Toronto Raptors,Chicago Bulls,0.65588315237
Sacramento Kings,Los Angeles Lakers,0.717611668845
Cleveland Cavaliers,Minnesota Timberwolves,0.870484201518
Boston Celtics,Philadelphia 76ers,0.931707556376
Milwaukee Bucks,Brooklyn Nets,0.684464764883
Cleveland Cavaliers,Indiana Pacers,0.779290743415
Minnesota Timberwolves,Denver Nuggets,0.51847892296
Detroit Pistons,Dallas Mavericks,0.572573839282
Golden State Warriors,Sacramento Kings,0.931363341504
Miami Heat,Houston Rockets,0.549883412101
Los Angeles Clippers,Atlanta Hawks,0.600937978892
Memphis Grizzlies,New Orleans Pelicans,0.621369196321
Oklahoma City Thunder,New York Knicks,0.895863624784
San Antonio Spurs,Orlando Magic,0.859708821246
Phoenix Suns,Los Angeles Lakers,0.620449503161
Toronto Raptors,Charlotte Hornets,0.653899328351
Utah Jazz,Portland Trail Blazers,0.530516194337
Boston Celtics,Chicago Bulls,0.568048490788
Indiana Pacers,Washington Wizards,0.600873031263
Cleveland Cavaliers,New York Knicks,0.912341667273
Charlotte Hornets,Detroit Pistons,0.559004652019
Golden State Warriors,Los Angeles Clippers,0.813386813061
Houston Rockets,New Orleans Pelicans,0.67857871885
Portland Trail Blazers,Orlando Magic,0.608857545083
Sacramento Kings,Denver Nuggets,0.516041511417
Atlanta Hawks,Miami Heat,0.556873637297
Chicago Bulls,Phoenix Suns,0.79096471141
Denver Nuggets,Brooklyn Nets,0.68393424494
Indiana Pacers,Memphis Grizzlies,0.679770343581
San Antonio Spurs,Los Angeles Clippers,0.653354055698
Utah Jazz,Milwaukee Bucks,0.66222899347
Dallas Mavericks,Minnesota Timberwolves,0.645453334871
Oklahoma City Thunder,Los Angeles Lakers,0.950055904252
Washington Wizards,Philadelphia 76ers,0.878476215687
Toronto Raptors,Boston Celtics,0.658638064045
Cleveland Cavaliers,Chicago Bulls,0.855203228844
Dallas Mavericks,New Orleans Pelicans,0.723041996975
Golden State Warriors,Brooklyn Nets,0.969526289859
Houston Rockets,Minnesota Timberwolves,0.667449698874
Miami Heat,Indiana Pacers,0.588574308515
New York Knicks,Philadelphia 76ers,0.8143276023
Atlanta Hawks,Orlando Magic,0.683452424273
Charlotte Hornets,Sacramento Kings,0.709464723721
Memphis Grizzlies,Denver Nuggets,0.556663047425
Boston Celtics,Detroit Pistons,0.553819768974
Los Angeles Clippers,Charlotte Hornets,0.607092608497
San Antonio Spurs,Los Angeles Lakers,0.950755584674
Milwaukee Bucks,Phoenix Suns,0.615067418934
Oklahoma City Thunder,New Orleans Pelicans,0.893472610986
Toronto Raptors,Portland Trail Blazers,0.718627190554
Washington Wizards,Utah Jazz,0.535960469076
Boston Celtics,Atlanta Hawks,0.541790363699
Cleveland Cavaliers,Milwaukee Bucks,0.898815709463
Miami Heat,Dallas Mavericks,0.546463341149
Indiana Pacers,Houston Rockets,0.527438337842
Toronto Raptors,New York Knicks,0.784427497535
Golden State Warriors,Philadelphia 76ers,0.977607492022
Sacramento Kings,Minnesota Timberwolves,0.518083833166
Chicago Bulls,Denver Nuggets,0.659725963627
Detroit Pistons,Portland Trail Blazers,0.51607321328
Charlotte Hornets,Los Angeles Lakers,0.868930837403
Memphis Grizzlies,Phoenix Suns,0.712333014562
Oklahoma City Thunder,Utah Jazz,0.801577778731
Golden State Warriors,Washington Wizards,0.841588721965
Atlanta Hawks,Dallas Mavericks,0.665897266624
Cleveland Cavaliers,Boston Celtics,0.641841396529
Los Angeles Clippers,Houston Rockets,0.694459266874
Miami Heat,Philadelphia 76ers,0.932099344168
Denver Nuggets,Milwaukee Bucks,0.549837296804
Detroit Pistons,New Orleans Pelicans,0.683600647948
Orlando Magic,New York Knicks,0.621447108788
Sacramento Kings,Brooklyn Nets,0.714680864697
San Antonio Spurs,Indiana Pacers,0.821916674038
Toronto Raptors,Washington Wizards,0.751024394369
Utah Jazz,Minnesota Timberwolves,0.68695694203
Golden State Warriors,Chicago Bulls,0.835530824855
Charlotte Hornets,Phoenix Suns,0.823714491004
Oklahoma City Thunder,Portland Trail Blazers,0.548355482388
Cleveland Cavaliers,Atlanta Hawks,0.649410026679
Dallas Mavericks,Memphis Grizzlies,0.635711978377
Boston Celtics,Los Angeles Lakers,0.866519735946
Los Angeles Clippers,Milwaukee Bucks,0.791459930141
San Antonio Spurs,New Orleans Pelicans,0.900439142393
Miami Heat,Orlando Magic,0.662771792143
New York Knicks,Philadelphia 76ers,0.76964226556
Oklahoma City Thunder,Phoenix Suns,0.905278368248
Utah Jazz,Brooklyn Nets,0.83641494186
Toronto Raptors,Washington Wizards,0.665912216063
Los Angeles Clippers,Chicago Bulls,0.615776925804
Charlotte Hornets,Denver Nuggets,0.738676707797
Houston Rockets,Memphis Grizzlies,0.632508217247
Cleveland Cavaliers,Miami Heat,0.640420906462
Toronto Raptors,Milwaukee Bucks,0.818629242958
Detroit Pistons,Philadelphia 76ers,0.889251301266
Portland Trail Blazers,Brooklyn Nets,0.911538482456
San Antonio Spurs,Minnesota Timberwolves,0.91180887596
Atlanta Hawks,Indiana Pacers,0.579036479571
Oklahoma City Thunder,Dallas Mavericks,0.725169774106
New Orleans Pelicans,Los Angeles Lakers,0.663128159756
Golden State Warriors,New York Knicks,0.906531352184
Boston Celtics,Phoenix Suns,0.820643294947
Utah Jazz,Sacramento Kings,0.600858105858
Washington Wizards,Orlando Magic,0.632072474832
Golden State Warriors,Atlanta Hawks,0.763188436385
Charlotte Hornets,Indiana Pacers,0.577986368102
Cleveland Cavaliers,Miami Heat,0.763362219055
Sacramento Kings,Denver Nuggets,0.520041516598
Detroit Pistons,Chicago Bulls,0.607296576457
Los Angeles Clippers,Boston Celtics,0.612092034505
Memphis Grizzlies,Brooklyn Nets,0.748777842189
Orlando Magic,New York Knicks,0.621447108788
Milwaukee Bucks,Philadelphia 76ers,0.796526678197
San Antonio Spurs,Houston Rockets,0.852797685079
Utah Jazz,New Orleans Pelicans,0.737893940914
Dallas Mavericks,Los Angeles Lakers,0.855512092154
Oklahoma City Thunder,Portland Trail Blazers,0.77098463691
Washington Wizards,Phoenix Suns,0.74533021037
Atlanta Hawks,Brooklyn Nets,0.877741749207
Washington Wizards,Denver Nuggets,0.639049837422
Golden State Warriors,Boston Celtics,0.841567399109
Houston Rockets,Utah Jazz,0.55360918732
Indiana Pacers,Detroit Pistons,0.575436349626
Miami Heat,Charlotte Hornets,0.549700016292
Milwaukee Bucks,New York Knicks,0.520652942471
Los Angeles Clippers,Minnesota Timberwolves,0.786735249463
Toronto Raptors,New Orleans Pelicans,0.815069245066
Chicago Bulls,Orlando Magic,0.517708820507
San Antonio Spurs,Sacramento Kings,0.911304215208
Cleveland Cavaliers,Detroit Pistons,0.733758008071
Los Angeles Clippers,Memphis Grizzlies,0.710058816758
San Antonio Spurs,Oklahoma City Thunder,0.539040814695
Phoenix Suns,Los Angeles Lakers,0.620449503161
Portland Trail Blazers,Philadelphia 76ers,0.949859624708
Toronto Raptors,Atlanta Hawks,0.547332232511
Chicago Bulls,Houston Rockets,0.52274489427
Charlotte Hornets,Orlando Magic,0.738206580005
Dallas Mavericks,Brooklyn Nets,0.825827869415
Boston Celtics,Denver Nuggets,0.734601344388
Indiana Pacers,Milwaukee Bucks,0.730738202885
Golden State Warriors,Minnesota Timberwolves,0.921220023767
Washington Wizards,Sacramento Kings,0.604661461969
Charlotte Hornets,New Orleans Pelicans,0.797407504643
Dallas Mavericks,Phoenix Suns,0.797538377926
Detroit Pistons,New York Knicks,0.731554245414
Los Angeles Clippers,Philadelphia 76ers,0.945578746467
Atlanta Hawks,Memphis Grizzlies,0.678009961821
Toronto Raptors,Miami Heat,0.537589461084
Minnesota Timberwolves,Milwaukee Bucks,0.547812091055
Oklahoma City Thunder,Utah Jazz,0.801577778731
Cleveland Cavaliers,Orlando Magic,0.820626986648
Portland Trail Blazers,Washington Wizards,0.728971792001
Sacramento Kings,Denver Nuggets,0.516041511417
San Antonio Spurs,Golden State Warriors,0.510080614378
Boston Celtics,Chicago Bulls,0.703990001092
New York Knicks,Brooklyn Nets,0.649293108286
Cleveland Cavaliers,Houston Rockets,0.739838619703
Indiana Pacers,Miami Heat,0.502381156601
Los Angeles Lakers,Philadelphia 76ers,0.629109067736
Portland Trail Blazers,Phoenix Suns,0.775612853936
Charlotte Hornets,Chicago Bulls,0.696139778423
Denver Nuggets,Los Angeles Lakers,0.729891786099
Memphis Grizzlies,Milwaukee Bucks,0.589597993377
Washington Wizards,Minnesota Timberwolves,0.659425941161
Orlando Magic,Sacramento Kings,0.503003565685
San Antonio Spurs,Atlanta Hawks,0.793317363142
Toronto Raptors,Dallas Mavericks,0.76236822076
Los Angeles Clippers,Utah Jazz,0.58806760571
Oklahoma City Thunder,Brooklyn Nets,0.928982291655
Cleveland Cavaliers,Detroit Pistons,0.812409635088
Golden State Warriors,Philadelphia 76ers,0.983190599109
Portland Trail Blazers,New Orleans Pelicans,0.696725326133
Indiana Pacers,New York Knicks,0.686313409213
Boston Celtics,Minnesota Timberwolves,0.761048691112
Chicago Bulls,Memphis Grizzlies,0.626345704708
Detroit Pistons,Utah Jazz,0.561344510116
Houston Rockets,Los Angeles Lakers,0.853796811868
Charlotte Hornets,Indiana Pacers,0.514684633011
Los Angeles Clippers,Milwaukee Bucks,0.819995944569
Miami Heat,New Orleans Pelicans,0.804353815063
Sacramento Kings,Phoenix Suns,0.641717428603
San Antonio Spurs,Portland Trail Blazers,0.841870234393
Washington Wizards,Dallas Mavericks,0.547315584038
Atlanta Hawks,Memphis Grizzlies,0.725453290001
Cleveland Cavaliers,Utah Jazz,0.830146493072
Los Angeles Clippers,Denver Nuggets,0.771334679776
Golden State Warriors,Orlando Magic,0.926197921959
New York Knicks,Brooklyn Nets,0.70463279807
Oklahoma City Thunder,Toronto Raptors,0.519828915884
Boston Celtics,Brooklyn Nets,0.862305515089
Toronto Raptors,Detroit Pistons,0.642728008554
Milwaukee Bucks,Los Angeles Lakers,0.692178922732
Miami Heat,Minnesota Timberwolves,0.762169617493
Houston Rockets,New Orleans Pelicans,0.67857871885
Dallas Mavericks,Philadelphia 76ers,0.871742565588
Orlando Magic,Phoenix Suns,0.659473248726
Washington Wizards,Chicago Bulls,0.582594388697
Atlanta Hawks,Portland Trail Blazers,0.613403568531
Chicago Bulls,Utah Jazz,0.547071034779
Charlotte Hornets,Washington Wizards,0.651072335242
Houston Rockets,Denver Nuggets,0.657721992788
Golden State Warriors,Milwaukee Bucks,0.938782015783
Cleveland Cavaliers,Los Angeles Clippers,0.584565231278
San Antonio Spurs,Memphis Grizzlies,0.856661208085
Oklahoma City Thunder,Sacramento Kings,0.866612543045
Dallas Mavericks,Brooklyn Nets,0.790194100186
Detroit Pistons,Phoenix Suns,0.800357045558
Cleveland Cavaliers,Los Angeles Lakers,0.935123222405
Miami Heat,Portland Trail Blazers,0.622670152272
Minnesota Timberwolves,New Orleans Pelicans,0.541910965521
Boston Celtics,Philadelphia 76ers,0.91870878176
San Antonio Spurs,Sacramento Kings,0.911304215208
Toronto Raptors,Indiana Pacers,0.68886957612
Boston Celtics,Washington Wizards,0.659517406151
Charlotte Hornets,Atlanta Hawks,0.53249515758
Houston Rockets,Denver Nuggets,0.665631842936
Indiana Pacers,Utah Jazz,0.604676338725
Los Angeles Clippers,New York Knicks,0.842208542711
Golden State Warriors,Oklahoma City Thunder,0.60300519305
Orlando Magic,Philadelphia 76ers,0.84237201616
Detroit Pistons,Brooklyn Nets,0.816491768036
Golden State Warriors,Dallas Mavericks,0.829927670233
Los Angeles Clippers,Los Angeles Lakers,0.887783638908
Miami Heat,Phoenix Suns,0.861178106542
San Antonio Spurs,Minnesota Timberwolves,0.900026515319
Memphis Grizzlies,New Orleans Pelicans,0.579743079694
Portland Trail Blazers,Milwaukee Bucks,0.832404511335
Toronto Raptors,Chicago Bulls,0.787397632634
Boston Celtics,Indiana Pacers,0.587078469441
Chicago Bulls,Detroit Pistons,0.516973856452
Cleveland Cavaliers,Denver Nuggets,0.86005564623
Oklahoma City Thunder,Philadelphia 76ers,0.965522946156
Charlotte Hornets,Orlando Magic,0.677859221416
Sacramento Kings,Milwaukee Bucks,0.546967825481
Utah Jazz,New York Knicks,0.742771597788
Atlanta Hawks,Washington Wizards,0.590343556548
